Make,Model,Class,Prop diameter ,Motor size,Motor kv,Battery Voltage ,Battery mAh,Dry Weight (g),
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2306,2650,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2207,2650,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2207,2450,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2207,1750,6S,1250,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2306.5,2550,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2207.5 ,1860,6S,1250,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2306 ,2450,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,Skyeliner HD,HD Freestyle,"5""",2207,2450,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/skyeliner-hd-built-and-tuned-bundle?aff=3 
Rotor Riot ,HD1 ,HD Freestyle,"5""",2306,2650,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/rtf-rotor-riot-hd1-bundle?aff=3 
Rotor Riot ,HD1 ,HD Freestyle,"5""",2207 ,2650,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/rtf-rotor-riot-hd1-bundle?aff=3 
Rotor Riot ,HD1 ,HD Freestyle,"5""",2207 ,2450,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/rtf-rotor-riot-hd1-bundle?aff=3 
Rotor Riot ,HD1 ,HD Freestyle,"5""",2207,1750,6S,1250,,https://rotorriot.com/collections/pre-built-quads-2/products/rtf-rotor-riot-hd1-bundle?aff=3 
Rotor Riot ,HD1 ,HD Freestyle,"5""",2306.5,2550,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/rtf-rotor-riot-hd1-bundle?aff=3 
Rotor Riot ,HD1 ,HD Freestyle,"5""",2207.5,1860,6S,1250,,https://rotorriot.com/collections/pre-built-quads-2/products/rtf-rotor-riot-hd1-bundle?aff=3 
Rotor Riot ,CL1 ,Freestyle,"5""",2306,2650,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/cl1-budget-build-built-and-tuned?aff=3 
Rotor Riot ,CL1 ,Freestyle,"5""",2207,2650,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/cl1-budget-build-built-and-tuned?aff=3 
Rotor Riot ,CL1 ,Freestyle,"5""",2207 ,2450,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/cl1-budget-build-built-and-tuned?aff=3 
Rotor Riot ,CL1 ,Freestyle,"5""",2207 ,1750,6S,1250,,https://rotorriot.com/collections/pre-built-quads-2/products/cl1-budget-build-built-and-tuned?aff=3 
Rotor Riot ,CL1 ,Freestyle,"5""",2306.5,2550,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/cl1-budget-build-built-and-tuned?aff=3 
Rotor Riot ,CL1 ,Freestyle,"5""",2207.5,1860,6S,1250,,https://rotorriot.com/collections/pre-built-quads-2/products/cl1-budget-build-built-and-tuned?aff=3 
Rotor Riot ,DJI Cinewoop,Cinewhoop,"3""",1507,3800,4S,1500,,https://rotorriot.com/collections/pre-built-quads-2/products/rotor-riot-dji-cinewhoop-built-tuned?aff=3 
BetaFPV,HX115 HD,HD Toothpick,"3"" x 3",1105,5000,3S,450,74.3,https://betafpv.com/collections/all-drone/products/hx115-hd-micro-race-drone?sca_ref=33559.am0LqC5IEf
BetaFPV,HX115 HD,HD Toothpick,"3"" x 2",1105,5000,4S,450,74.3,https://betafpv.com/collections/all-drone/products/hx115-hd-micro-race-drone?sca_ref=33559.am0LqC5IEf 
